entry_date,entry_price,exit_date,exit_price,pnl,pnl_r,result
2025-04-11,3182.10009765625,2025-04-16,3309.3841015625003,127.28400390625029,2,TP
2025-04-17,3345.0,2025-04-22,3478.8,133.80000000000018,2,TP
2025-04-23,3321.199951171875,2025-05-01,3254.775952148437,-66.42399902343777,-1,SL
2025-05-06,3365.5,2025-05-08,3298.19,-67.30999999999995,-1,SL
2025-05-12,3300.699951171875,2025-05-12,3234.6859521484375,-66.01399902343746,-1,SL
2025-05-21,3293.39990234375,2025-06-13,3425.1358984375,131.73599609375015,2,TP
2025-06-16,3442.0,2025-06-18,3373.16,-68.84000000000015,-1,SL
2025-06-20,3350.0,2025-06-27,3283.0,-67.0,-1,SL
2025-08-07,3384.89990234375,2025-08-19,3317.201904296875,-67.697998046875,-1,SL
2025-09-26,3775.300048828125,2025-10-06,3926.31205078125,151.01200195312504,2,TP
2025-11-11,4140.10009765625,2025-11-14,4057.298095703125,-82.802001953125,-1,SL
2025-11-19,4086.10009765625,2025-12-01,4249.5441015625,163.44400390625015,2,TP
2025-12-02,4230.5,2025-12-22,4399.72,169.22000000000025,2,TP
2025-12-30,4346.39990234375,2026-01-12,4520.2558984375,173.85599609375004,2,TP
2026-01-13,4578.60009765625,2026-01-20,4761.7441015625,183.14400390624996,2,TP
2026-02-09,5017.39990234375,2026-02-12,4917.051904296875,-100.34799804687464,-1,SL
2026-02-17,5020.0,2026-02-17,4919.6,-100.39999999999964,-1,SL
